BehaviorSpace results (NetLogo 6.1.1),,,,,,,,
Citizen_Model_Experiments.nlogo,,,,,,,,
experiment,,,,,,,,
11/12/2020 00:03:12:068 +0100,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,
0,814,0,784,,,,,
[run number],1,2,3,4,,,,
number-supported-initiatives,0,0,0,0,,,,
number-waste-collectors,0,0,0,0,,,,
debug?,FALSE,FALSE,FALSE,FALSE,,,,
number-cw,0,0,0,0,,,,
interaction-chance,0,0,0,0,,,,
verbose?,FALSE,FALSE,FALSE,FALSE,,,,
number-police-officers,0,0,0,0,,,,
resolution,45,45,45,45,,,,
random-seed,1,2,3,4,,,,
[reporter],mean [pls] of citizens,mean [pls] of citizens,mean [pls] of citizens,mean [pls] of citizens,,,,
[final],3.999523657,4.412778669,3.284345239,4.05507789,,,,
[min],3.999523657,4.412778669,3.284345239,4.05507789,,,,
[max],39.82878106,40.49471717,38.99980863,38.90826833,,,,
[mean],17.84005512,18.43357733,17.04450883,16.88708843,,,,
[steps],36167,36167,36167,36167,,,3.096489726,years
,,,,,,,,
[all run data],mean [pls] of citizens,mean [pls] of citizens,mean [pls] of citizens,mean [pls] of citizens,,,,
,39.82878106,40.49471717,38.99980863,38.90826833,,,,
,39.82878106,40.49470003,38.99979148,38.9082619,,,,
,39.82878106,40.49468288,38.99978077,38.90825547,,,,
,39.82878106,40.4946786,38.99977006,38.90824261,,,,
,39.82878106,40.49466788,38.99976577,38.90823618,,,,
,39.82878106,40.49465717,38.99976148,38.90823618,,,,
,39.82878106,40.49465288,38.9997572,38.90823618,,,,
,39.82878106,40.4946486,38.99975291,38.90823618,,,,
,39.82878106,40.49464431,38.99974863,38.90823618,,,,
,39.82878106,40.49464003,38.99974434,38.90823618,,,,
,39.82878106,40.49462288,38.99974006,38.90823618,,,,
,39.82878106,40.49460574,38.99973577,38.90822118,,,,
,39.82875535,40.4946036,38.99973148,38.90820404,,,,
,39.82874249,40.49456288,38.9997272,38.90819118,,,,
,39.8286932,40.49443217,38.9996222,38.90810761,,,,
,39.82853677,40.49421146,38.99948506,38.90800475,,,,
,39.82838035,40.4939436,38.9992772,38.90779475,,,,
,39.82818963,40.49367574,38.9990522,38.90754618,,,,
,39.82804606,40.49351074,38.99887006,38.9074219,,,,
,39.82786392,40.49329646,38.99865148,38.90720118,,,,
,39.82778463,40.49302431,38.99848863,38.90700833,,,,
,39.8275832,40.4927886,38.99831077,38.90672333,,,,
,39.82748035,40.49252074,38.99816291,38.90647904,,,,
,39.82740106,40.49235574,38.99801291,38.90631404,,,,
,39.82734535,40.49227003,38.99794434,38.90627547,,,,
,39.82733035,40.49220574,38.99790363,38.90626047,,,,
,39.82731749,40.4921886,38.99789934,38.90626261,,,,
,39.82730463,40.49218646,38.99789506,38.90626475,,,,
,39.82730463,40.49218217,38.99789077,38.90626475,,,,
,39.82730463,40.49217788,38.99788648,38.90626261,,,,
,39.82730463,40.4921736,38.9978822,38.90625833,,,,
,39.82730463,40.49216931,38.99787791,38.90625404,,,,
,39.82730463,40.49216503,38.99787363,38.90624975,,,,
,39.73206225,40.44454169,38.90263125,38.81100309,,,,
,39.73205796,40.44453741,38.90262696,38.81099452,,,,
,39.73205368,40.44453312,38.90262268,38.81098594,,,,
,39.73204939,40.44452884,38.90261839,38.81097737,,,,
,39.73204511,40.44452455,38.9026141,38.8109688,,,,
,39.73204082,40.44452027,38.90260982,38.81096023,,,,
,39.73203654,40.44451598,38.90260553,38.81095166,,,,
,39.73203225,40.44451169,38.90260125,38.81094309,,,,
,39.73202796,40.44450741,38.90259696,38.81093452,,,,
,39.73202368,40.44450312,38.90259268,38.81092594,,,,
,39.73201939,40.44449884,38.90258839,38.81090023,,,,
,39.73198725,40.44449455,38.9025841,38.81087452,,,,
,39.73193582,40.44443884,38.90256268,38.81085309,,,,
,39.73185868,40.44435527,38.90254125,38.81082523,,,,
,39.73178368,40.44414955,38.90245768,38.8107288,,,,
,39.73161868,40.44392884,38.90233553,38.81049952,,,,
