"BehaviorSpace results (NetLogo 6.1.1)"
"Citizen_Model_Experiments.nlogo"
"experiment_5_increase_social_support"
"11/14/2020 09:57:52:985 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","814","0","784"
"[run number]","number-supported-initiatives","number-waste-collectors","debug?","number-cw","interaction-chance","resolution","verbose?","number-police-officers","random-seed","[step]","mean [pls] of citizens","standard-deviation [pls] of citizens"
"3","24","4","true","3","20","45","false","2","3","0","38.99980862751459","9.82230351171928"
"4","24","4","true","3","20","45","false","2","4","0","38.90826832538408","9.577178029893602"
"1","24","4","true","3","20","45","false","2","1","0","39.82878105975824","9.679507761336277"
"2","24","4","true","3","20","45","false","2","2","0","40.542336217609346","10.07138803822693"
"3","24","4","true","3","20","45","false","2","3","1","39.00265434180031","9.82232497014266"
"1","24","4","true","3","20","45","false","2","1","1","39.83161177404394","9.679485656457793"
"2","24","4","true","3","20","45","false","2","2","1","40.54513693189505","10.071365680892088"
"4","24","4","true","3","20","45","false","2","4","1","38.911120468241215","9.577165339294886"
"3","24","4","true","3","20","45","false","2","3","2","39.00552577037174","9.822311740351683"
"4","24","4","true","3","20","45","false","2","4","2","38.913961896812644","9.577158269117684"
"2","24","4","true","3","20","45","false","2","2","2","40.54798478903792","10.071371391914125"
"1","24","4","true","3","20","45","false","2","1","2","39.834418916901114","9.679481251700908"
"3","24","4","true","3","20","45","false","2","3","3","39.00835862751459","9.822251385701058"
"2","24","4","true","3","20","45","false","2","2","3","40.55081764618077","10.071370116266976"
"4","24","4","true","3","20","45","false","2","4","3","38.91679046824123","9.57715972804069"
"1","24","4","true","3","20","45","false","2","1","3","39.837230345472534","9.679487730366464"
"3","24","4","true","3","20","45","false","2","3","4","39.01116577037173","9.822264386109351"
"4","24","4","true","3","20","45","false","2","4","4","38.919636182526936","9.57715852763956"
"2","24","4","true","3","20","45","false","2","2","4","40.55365050332361","10.071382891298969"
"3","24","4","true","3","20","45","false","2","3","5","39.0140071989432","9.822266075106027"
"4","24","4","true","3","20","45","false","2","4","5","38.92247332538408","9.577126622032647"
"1","24","4","true","3","20","45","false","2","1","4","39.840084631186855","9.679524499260326"
"4","24","4","true","3","20","45","false","2","4","6","38.92532761109838","9.57712675366363"
"3","24","4","true","3","20","45","false","2","3","6","39.0168529132289","9.822286448846778"
"1","24","4","true","3","20","45","false","2","1","5","39.84292177404397","9.679530466760692"
"2","24","4","true","3","20","45","false","2","2","5","40.55651764618079","10.071333719382148"
"4","24","4","true","3","20","45","false","2","4","7","38.92818189681267","9.577184552016346"
"3","24","4","true","3","20","45","false","2","3","7","39.0196429132289","9.822333840966273"
"1","24","4","true","3","20","45","false","2","1","6","39.84575034547256","9.679484514280071"
"1","24","4","true","3","20","45","false","2","1","7","39.848497488329734","9.6795220789096"
"3","24","4","true","3","20","45","false","2","3","8","39.022287198943175","9.822345062212518"
"2","24","4","true","3","20","45","false","2","2","6","40.559311931895074","10.071388071551027"
"1","24","4","true","3","20","45","false","2","1","8","39.85118463118685","9.679526476928114"
"4","24","4","true","3","20","45","false","2","4","8","38.929621896812705","9.577233701822854"
"3","24","4","true","3","20","45","false","2","3","9","39.02490148465749","9.822327071858714"
"2","24","4","true","3","20","45","false","2","2","7","40.56208478903792","10.071461189490996"
"1","24","4","true","3","20","45","false","2","1","9","39.85379034547259","9.67952656899823"
"4","24","4","true","3","20","45","false","2","4","9","38.9321526110984","9.577217147695025"
"2","24","4","true","3","20","45","false","2","2","8","40.56478907475219","10.071576231149018"
"3","24","4","true","3","20","45","false","2","3","10","39.02725434180033","9.822313810627703"
"1","24","4","true","3","20","45","false","2","1","10","39.85619034547258","9.679577287849597"
"4","24","4","true","3","20","45","false","2","4","10","38.93441975395556","9.577265825903096"
"3","24","4","true","3","20","45","false","2","3","11","39.029144341800325","9.822243611617505"
"2","24","4","true","3","20","45","false","2","2","9","40.567347646180785","10.071790632799102"
"1","24","4","true","3","20","45","false","2","1","11","39.8581360597583","9.679667849028997"
"4","24","4","true","3","20","45","false","2","4","11","38.93539689681267","9.577330023927983"
"3","24","4","true","3","20","45","false","2","3","12","39.03073862751462","9.822118555141444"
"2","24","4","true","3","20","45","false","2","2","10","40.569567646180786","10.071895206439635"
"1","24","4","true","3","20","45","false","2","1","12","39.85980320261543","9.679664681076428"
"4","24","4","true","3","20","45","false","2","4","12","38.93552761109839","9.57733930131814"
"3","24","4","true","3","20","45","false","2","3","13","39.03202434180033","9.822002862494132"
"2","24","4","true","3","20","45","false","2","2","11","40.571635503323655","10.071954059670583"
"4","24","4","true","3","20","45","false","2","4","13","38.936164039669826","9.577364605616447"
"1","24","4","true","3","20","45","false","2","1","13","39.86117463118688","9.679768837266687"
"2","24","4","true","3","20","45","false","2","2","12","40.57333478903795","10.072050427438201"
"3","24","4","true","3","20","45","false","2","3","14","39.03309577037176","9.82194691569403"
"4","24","4","true","3","20","45","false","2","4","14","38.93661403966983","9.577419867023991"
"1","24","4","true","3","20","45","false","2","1","14","39.862299631186865","9.679807376978884"
"2","24","4","true","3","20","45","false","2","2","13","40.574742646180795","10.072238895826464"
"3","24","4","true","3","20","45","false","2","3","15","39.03377291322891","9.821983638640342"
"1","24","4","true","3","20","45","false","2","1","15","39.863026059758305","9.679866148731726"
"2","24","4","true","3","20","45","false","2","2","14","40.57582478903798","10.0725428058189"
"4","24","4","true","3","20","45","false","2","4","15","38.9366333253841","9.577537130716436"
"3","24","4","true","3","20","45","false","2","3","16","39.034366484657475","9.822049901306556"
"1","24","4","true","3","20","45","false","2","1","16","39.86362177404401","9.67979083142852"
"2","24","4","true","3","20","45","false","2","2","15","40.57662407475226","10.07264551833941"
"4","24","4","true","3","20","45","false","2","4","16","38.9366783253841","9.577528640119723"
"3","24","4","true","3","20","45","false","2","3","17","39.03479077037176","9.822025335861067"
"1","24","4","true","3","20","45","false","2","1","17","39.86423463118688","9.679810962918873"
"4","24","4","true","3","20","45","false","2","4","17","38.93672546824127","9.577544827299743"
"2","24","4","true","3","20","45","false","2","2","16","40.577279789037945","10.072725422067556"
"1","24","4","true","3","20","45","false","2","1","18","39.864991059758324","9.679875124647356"
"3","24","4","true","3","20","45","false","2","3","18","39.03532862751463","9.821944576940712"
"2","24","4","true","3","20","45","false","2","2","17","40.57790978903796","10.072791086500457"
"4","24","4","true","3","20","45","false","2","4","18","38.93680475395556","9.577541163287059"
"1","24","4","true","3","20","45","false","2","1","19","39.865775345472564","9.679856613888203"
"3","24","4","true","3","20","45","false","2","3","19","39.03607005608603","9.821956393877436"
"2","24","4","true","3","20","45","false","2","2","18","40.578726217609365","10.073006618754581"
"4","24","4","true","3","20","45","false","2","4","19","38.93691403966982","9.577510408644144"
"1","24","4","true","3","20","45","false","2","1","20","39.86687891690116","9.679797027544453"
"2","24","4","true","3","20","45","false","2","2","19","40.57964764618081","10.073337282186866"
"3","24","4","true","3","20","45","false","2","3","20","39.03710291322892","9.821965654062337"
"4","24","4","true","3","20","45","false","2","4","20","38.936963325384106","9.577556294192583"
"1","24","4","true","3","20","45","false","2","1","21","39.86826748832973","9.679672341988288"
"2","24","4","true","3","20","45","false","2","2","20","40.58071050332369","10.073624591928054"
"3","24","4","true","3","20","45","false","2","3","21","39.038472198943204","9.822081420194813"
"4","24","4","true","3","20","45","false","2","4","21","38.93704903966983","9.577501811397068"
"1","24","4","true","3","20","45","false","2","1","22","39.870118916901156","9.679503764444245"
"2","24","4","true","3","20","45","false","2","2","21","40.58204336046653","10.073855657722499"
"3","24","4","true","3","20","45","false","2","3","22","39.04015648465748","9.822230613196101"
"4","24","4","true","3","20","45","false","2","4","22","38.93707903966982","9.577448376573203"
"1","24","4","true","3","20","45","false","2","1","23","39.87225320261544","9.679433006150802"
"3","24","4","true","3","20","45","false","2","3","23","39.04213434180035","9.822307223828513"
"2","24","4","true","3","20","45","false","2","2","22","40.583682646180826","10.074046864537623"
"1","24","4","true","3","20","45","false","2","1","24","39.87461677404403","9.679456760682736"
